2023-03-12T10:12:26.909+01:00 r=3b6cccae50f1 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree.js UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.911+01:00 r=3b6cccae50f1 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree.js status=200 time=3ms
2023-03-12T10:12:26.939+01:00 r=2f36b58af71f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_database.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.939+01:00 r=4252efde8fa3 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_table.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.940+01:00 r=d6e1261c148f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_plus.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.941+01:00 r=8d8deb6dfe40 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_column.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.941+01:00 r=2f36b58af71f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_database.gif status=200 time=1ms
2023-03-12T10:12:26.942+01:00 r=4252efde8fa3 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_table.gif status=200 time=2ms
2023-03-12T10:12:26.942+01:00 r=eb52c4a7d27f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_empty.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.943+01:00 r=8d8deb6dfe40 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_column.gif status=200 time=1ms
2023-03-12T10:12:26.943+01:00 r=d6e1261c148f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_plus.gif status=200 time=3ms
2023-03-12T10:12:26.944+01:00 r=7b6281a54e9e ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_minus.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.946+01:00 r=7b6281a54e9e ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_minus.gif status=200 time=1ms
2023-03-12T10:12:26.948+01:00 r=eb52c4a7d27f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_empty.gif status=200 time=4ms
2023-03-12T10:12:26.954+01:00 r=b72282b48d7d ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_index.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.955+01:00 r=99e68f4a7725 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_index_az.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.955+01:00 r=c523c2df9017 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_type.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.956+01:00 r=b72282b48d7d ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_index.gif status=200 time=1ms
2023-03-12T10:12:26.958+01:00 r=99e68f4a7725 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_index_az.gif status=200 time=1ms
2023-03-12T10:12:26.958+01:00 r=c523c2df9017 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_type.gif status=200 time=1ms
2023-03-12T10:12:26.976+01:00 r=e5023cb6af83 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_folder.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.979+01:00 r=e5023cb6af83 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_folder.gif status=200 time=2ms
2023-03-12T10:12:26.982+01:00 r=857c35ffa91e ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_info.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.983+01:00 r=75e12dba90c7 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_user.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.982+01:00 r=eeabd80bfd62 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_view.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.985+01:00 r=1f1597cfc0ab ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/tree_users.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.986+01:00 r=75e12dba90c7 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_user.gif status=200 time=2ms
2023-03-12T10:12:26.988+01:00 r=857c35ffa91e ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_info.gif status=200 time=4ms
2023-03-12T10:12:26.988+01:00 r=1f1597cfc0ab ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_users.gif status=200 time=2ms
2023-03-12T10:12:26.990+01:00 r=eeabd80bfd62 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/tree_view.gif status=200 time=4ms
2023-03-12T10:13:20.554+01:00 r=6be7a2321f1c ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> POST /h2-console/query.do?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:13:20.567+01:00 r=6be7a2321f1c ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< POST /h2-console/query.do?jsessionid=71c9a8ffdc8ef58ec952b7c9533a35ae status=200 time=12ms
2023-03-12T10:13:20.581+01:00 r=d5ffdede1fe0 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/stylesheet.css UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:13:20.582+01:00 r=d5ffdede1fe0 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/stylesheet.css status=304 time=0ms
2023-03-12T10:13:20.594+01:00 r=09e356e9d948 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/table.js UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:13:20.598+01:00 r=09e356e9d948 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/table.js status=200 time=2ms
